claim_id,claim_type,claim,source_ids,status,confidence,handling
C01,C1,"SpaceXAI filing reports about 325000 NVIDIA GPUs and about 1GW compute capacity",S01,confirmed_single_primary,high,"Use as supplier total; do not add customer allocations"
C02,C1,"Anthropic uses more than 220000 SpaceXAI NVIDIA GPUs and at least 300MW",S01|S03,confirmed_two_sided,high,"Count as Anthropic short-term external use and subset of SpaceXAI total"
C03,C1,"Google contracted about 110000 SpaceXAI NVIDIA GPUs",S02,confirmed_single_primary,high,"Capacity MW undisclosed; no GW conversion"
C04,C1,"Anthropic Google agreement can scale to 1000000 TPUs",S04,forward_looking,medium_high,"Keep TPU separate from NVIDIA GPU"
C05,C1,"CoreWeave had more than 1GW active and more than 3.5GW contracted power",S05,confirmed_single_primary,high,"Active is revenue denominator; contracted is pipeline"
C06,C1_FIN,"CoreWeave Q1 2026 revenue was USD2.078bn with USD99.4bn backlog",S05,confirmed_single_primary,high,"GAAP revenue; backlog is not revenue"
C07,C1_FIN,"CoreWeave Q1 interest expense was USD0.536bn and net loss USD0.740bn",S05,confirmed_single_primary,high,"Use to temper EBITDA and revenue-per-GW conclusions"
C08,C1,"Nebius targets 0.8-1.0GW connected by end-2026 and more than 4GW contracted",S06,forward_looking,high,"Do not label connected target as current active"
C09,C1_FIN,"Nebius Q1 AI cloud revenue was USD0.3897bn and ARR USD1.92bn",S06,confirmed_single_primary,high,"ARR and quarterly revenue kept separate"
C10,C1,"IREN targets 150000 GPUs and 0.48GW by end-2026",S07|S08,forward_looking,high,"Target not current deployed fleet"
C11,C1,"IREN targets 1.21GW by 2027 and cites a 5GW secured-power pipeline",S08,forward_looking,medium_high,"Pipeline is option value not active AI cloud"
C12,C1_FIN,"IREN Q1 AI cloud revenue was USD0.0336bn",S08,confirmed_single_primary,high,"Use to show early revenue ramp"
C13,C1,"OpenAI announced Stargate path to 10GW by 2029",S09,forward_looking,medium_high,"Platform capacity may overlap supplier or chip commitments"
C14,C1,"OpenAI announced 2GW of AWS Trainium capacity",S10,forward_looking,medium_high,"External cloud/chip purchase"
C15,C1,"OpenAI announced 5GW with NVIDIA and 6GW with AMD",S11|S12,forward_looking,medium_high,"Do not mechanically add to Stargate as physical total"
C16,C1,"TeraWulf Anthropic project is 401MW critical IT load over 20 years with headline value USD19bn",S13,confirmed_single_primary,high,"Long lease; first revenue starts after buildout"
C17,C1_FIN,"Oracle FY26 Q4 OCI revenue was about USD5.8bn and RPO USD638bn",S14,confirmed_single_primary,high,"OCI is broader than AI compute"
C18,C1_FIN,"Oracle FY26 free cash flow was negative USD23.7bn",S14,confirmed_single_primary,high,"Capital intensity and financing risk"
C19,C1,"Meta AI compute is reported at about 7GW in 2026 with a 14GW target for 2027",S18,media_single_source,medium,"Explicitly label 14GW as 2027 plan"
C20,C1,"Meta 1.3m mixed-GPU figure was a 2025 year-end target rather than a verified actual",S20,media_single_source,medium,"Never present as current confirmed fleet"
C21,C1,"Google Vizag has an official 1GW commitment while higher 5GW figures refer to hosting or campus potential",S21|S22,triangulated,high,"Use 1GW committed; 5GW scenario only"
C22,C1,"AWS Microsoft and Google total-fleet GW estimates include non-AI cloud loads",S19,analyst_estimate,medium_low,"Context only; exclude from pure-AI ranking"
C23,C2,"Microsoft Fairwater is a major purpose-built AI datacenter but official post does not establish total Microsoft GW",S24,confirmed_scope_limit,high,"Do not infer companywide GW"
C24,C2,"Meta Hyperion uses a joint-venture financing structure",S23,confirmed_single_primary,high,"Relevant to capital organization not active GW"
C25,C1_CALC,"CoreWeave annualized revenue density is below about USD8.3bn per active GW",S05,derived,medium_high,"2.078x4 divided by >1GW; upper bound because denominator exceeds 1"
C26,C1_CALC,"TeraWulf headline annual contract density is about USD2.37bn per GW",S13,derived,medium_high,"19/20/0.401; not comparable to full-stack GPU cloud"
C27,C1_CALC,"Anthropic SpaceXAI headline price can imply up to about USD50bn per GW-year",S01|S03,derived_low_bound_denominator,medium,"Uses at least 0.3GW; actual denominator may be larger; cancellation terms matter"
C28,C1_CALC,"Oracle OpenAI headline obligation can imply about USD13.3bn per GW-year",S14,derived_from_reported_contract,medium,"300/5/4.5; verify exact term and scope before valuation use"
C29,C1_FCST,"2026Q2E compute-related supplier revenue estimates are not reported actuals",S05|S06|S08|S14,estimate,medium,"Label E and show method/range"
C30,C1_INFERENCE,"Risk-adjusted business quality favors load owners over pure capacity owners",S05|S06|S08|S14|S15|S16|S17,inference,medium_high,"Investment judgment not a reported fact"
C31,C1,"Jensen Huang publicly stated that 6m Blackwell GPUs shipped in the prior four quarters",S25,executive_disclosure_via_media,medium_high,"Use as the hard supply anchor; period differs from calendar-year model estimates"
C32,C1,"AWS Project Rainier was operational with nearly 500k Trainium2 chips and AWS expected Anthropic to use more than 1m by 2025 year-end",S28,confirmed_current_plus_forward_target,high,"Keep nearly 500k operational separate from the more-than-1m target"
C33,C1_EST,"Epoch AI estimates cumulative AI-chip units by designer including Nvidia Google Amazon AMD Huawei and Cambricon",S26,model_estimate,medium_low,"Use for order of magnitude only; do not present model medians as company-reported actuals"
C34,C1_EST,"Epoch AI estimates Nvidia Q1 2026 shipments at about 1.34m units including about 0.99m B300 and 0.35m B200",S26,model_estimate,medium_low,"Latest complete quarter; exclude Q2 2026 rows marked Incomplete from ranking"
C35,C1_EST,"Epoch AI combines H100 and H200 rather than providing a reliable standalone H200 shipment series",S26,confirmed_dataset_scope_limit,medium,"Do not fabricate a standalone H200 unit estimate"
