id,publisher,title_or_document,date,source_type,grade,reachability,url,main_use
S01,SEC,SpaceX filing with compute infrastructure and customer contract,2026-07,Regulatory filing,A,"403 anti-bot",https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,"SpaceXAI cards GW Anthropic contract"
S02,SEC,SpaceX agreement filing for Google capacity,2026-07,Regulatory filing,A,"403 anti-bot",https://www.sec.gov/Archives/edgar/data/1181412/000162828026041150/spacexagreementfwp.htm,"Google use of SpaceXAI GPUs"
S03,Anthropic,Higher limits with SpaceX capacity,2026,Customer announcement,B,200,https://www.anthropic.com/news/higher-limits-spacex,"Anthropic GPU and MW use"
S04,Anthropic,Expanding use of Google Cloud TPUs and services,2026,Customer announcement,B,200,https://www.anthropic.com/news/expanding-our-use-of-google-cloud-tpus-and-services,"Anthropic TPU target"
S05,CoreWeave,First Quarter 2026 Results,2026-Q1,Official IR release,A,"403 anti-bot",https://investors.coreweave.com/news/news-details/2026/CoreWeave-Reports-Strong-First-Quarter-2026-Results/,"Active and contracted power backlog revenue debt"
S06,Nebius,Q1 2026 Shareholder Letter,2026-Q1,Official shareholder letter,A,200,https://assets.nebius.com/assets/6aba98d1-946c-4891-a420-d2f0aa60da95/Nebius%20SHL_Q1%202026.pdf,"Revenue ARR connected and contracted power"
S07,IREN,Expansion to 150000 GPUs,2026,Official IR release,B,"403 anti-bot",https://iren.gcs-web.com/news-releases/news-release-details/iren-expands-ai-cloud-capacity-150000-gpus,"GPU procurement target"
S08,IREN,Business Update and Q3 FY26 Results,2026-Q1,Official IR release,A,"403 anti-bot",https://iren.gcs-web.com/news-releases/news-release-details/iren-business-update-and-q3-fy26-results,"AI revenue 0.48GW 1.21GW 5GW pipeline"
S09,OpenAI,Building compute infrastructure for the intelligence age,2026,Company announcement,B,"403 anti-bot",https://openai.com/index/building-the-compute-infrastructure-for-the-intelligence-age/,"Stargate 10GW timeline"
S10,OpenAI,Amazon partnership,2026,Joint announcement,B,"403 anti-bot",https://openai.com/index/amazon-partnership/,"AWS Trainium 2GW"
S11,OpenAI,Scaling AI for everyone,2026,Joint announcement,B,"403 anti-bot",https://openai.com/index/scaling-ai-for-everyone/,"NVIDIA 3GW inference and 2GW training"
S12,OpenAI,OpenAI AMD strategic partnership,2026,Joint announcement,B,"403 anti-bot",https://openai.com/index/openai-amd-strategic-partnership/,"AMD 6GW commitment"
